TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
com.google.gson.internal.bind.TypeAdapters,BRANCH,0.2826855123674912,283,80
com.google.gson.stream.JsonWriter,BRANCH,0.8869565217391304,115,101
com.google.gson.internal.bind.ReflectiveTypeAdapterFactory,BRANCH,0.5692307692307692,65,37
com.google.gson.internal.bind.TypeAdapters,BRANCH,0.40418118466898956,287,116
com.google.gson.internal.bind.JsonTreeReader,BRANCH,0.8543689320388349,103,88
com.google.gson.stream.JsonReader,BRANCH,0.7282127031019202,677,469
com.google.gson.internal.$Gson$Types,BRANCH,0.6262135922330098,206,129
com.google.gson.stream.JsonWriter,BRANCH,0.8974358974358975,117,104
com.google.gson.internal.$Gson$Types,BRANCH,0.6350710900473934,211,134
com.google.gson.DefaultDateTypeAdapter,BRANCH,0.6086956521739131,23,14
com.google.gson.internal.$Gson$Types,BRANCH,0.660377358490566,212,140
org.apache.commons.lang3.math.NumberUtils,BRANCH,0.9110512129380054,371,337
org.apache.commons.lang3.math.NumberUtils,BRANCH,0.8635097493036211,359,310
org.apache.commons.lang3.text.translate.LookupTranslator,BRANCH,1.0,14,14
org.apache.commons.lang3.LocaleUtils,BRANCH,1.0,79,63
org.apache.commons.lang3.text.translate.CharSequenceTranslator,BRANCH,1.0,15,15
org.apache.commons.lang3.math.NumberUtils,BRANCH,0.9224806201550387,387,357
org.apache.commons.lang3.time.FastDatePrinter,BRANCH,0.8107344632768362,354,286
org.apache.commons.lang3.time.FastDateParser,BRANCH,0.7960339943342776,353,279
org.apache.commons.lang3.time.FastDateParser,BRANCH,0.7891737891737892,351,275
org.apache.commons.lang3.RandomStringUtils,BRANCH,0.8923076923076924,65,58
org.apache.commons.lang3.RandomStringUtils,BRANCH,0.9206349206349206,63,58
org.apache.commons.lang3.SerializationUtils,BRANCH,0.68,25,17
org.apache.commons.lang3.StringUtils,BRANCH,0.9307432432432432,1184,1102
org.apache.commons.lang3.reflect.TypeUtils,BRANCH,0.36054421768707484,294,106
org.apache.commons.lang3.math.NumberUtils,BRANCH,0.9295039164490861,383,356
org.apache.commons.lang3.text.translate.CharSequenceTranslator,BRANCH,1.0,15,15
org.apache.commons.lang3.time.FastDateFormat,BRANCH,0.839572192513369,374,295
org.apache.commons.lang3.text.translate.NumericEntityUnescaper,BRANCH,0.8974358974358975,39,35
